Churn_ID,Client_ID,Date_Resiliation,Raisons_Resiliation,Score_Churn
133,2043,2024-06-27,Autre,91
134,4657,2024-02-19,Problème de service client,100
135,4018,2024-02-08,Mauvaise couverture réseau,64
136,2754,2024-09-04,Mauvaise couverture réseau,79
137,2143,2024-12-16,Autre,89
138,3187,2024-07-25,Facturation incorrecte,63
139,2832,2024-10-29,Autre,91
140,4926,2024-08-02,Autre,78
141,703,2024-07-11,Mauvaise couverture réseau,75
142,3315,2024-11-16,Problème de service client,99
143,4344,2024-10-25,Autre,76
144,3792,2024-03-12,Mauvaise couverture réseau,73
145,4407,2024-02-04,Facturation incorrecte,96
146,1545,2024-03-13,Facturation incorrecte,80
147,2759,2024-05-23,Facturation incorrecte,71
148,2879,2024-09-14,Autre,63
149,4484,2024-01-18,Facturation incorrecte,78
150,1191,2024-05-27,Mauvaise couverture réseau,81
151,3968,2024-11-09,Facturation incorrecte,93
152,4258,2024-08-03,Problème de service client,90
153,3414,2024-08-14,Facturation incorrecte,74
154,2053,2024-09-17,Autre,92
155,2013,2024-03-19,Mauvaise couverture réseau,75
156,235,2024-08-15,Autre,98
157,2070,2024-11-15,Autre,61
158,4081,2024-09-29,Problème de service client,69
159,4828,2024-01-09,Mauvaise couverture réseau,81
160,4180,2024-06-30,Problème de service client,96
161,4908,2024-10-26,Problème de service client,92
162,639,2024-10-18,Autre,97
163,3108,2024-02-12,Facturation incorrecte,91
164,996,2024-04-09,Autre,73
165,1392,2024-10-29,Mauvaise couverture réseau,87
166,2541,2024-04-03,Facturation incorrecte,60
167,467,2024-05-28,Mauvaise couverture réseau,75
168,1017,2024-01-19,Autre,90
169,4636,2024-09-05,Mauvaise couverture réseau,96
170,2676,2024-04-12,Facturation incorrecte,76
171,2497,2024-03-29,Problème de service client,93
172,4905,2024-05-14,Mauvaise couverture réseau,98
173,1207,2024-01-03,Facturation incorrecte,87
174,3764,2024-01-13,Problème de service client,85
175,4938,2024-11-30,Problème de service client,67
176,3362,2024-05-12,Problème de service client,73
177,2037,2024-10-21,Problème de service client,80
178,3766,2024-09-30,Facturation incorrecte,81
179,1109,2024-01-23,Mauvaise couverture réseau,66
180,535,2024-07-07,Mauvaise couverture réseau,92
181,4490,2024-04-04,Problème de service client,80
182,1755,2024-06-13,Mauvaise couverture réseau,83
183,4743,2024-12-05,Problème de service client,93
184,3128,2024-01-23,Problème de service client,100
185,771,2024-09-10,Problème de service client,94
186,220,2024-01-19,Problème de service client,87
187,3311,2024-07-22,Facturation incorrecte,97
188,129,2024-04-08,Mauvaise couverture réseau,77
189,2991,2024-03-14,Autre,86
190,362,2024-04-29,Facturation incorrecte,77
191,3229,2024-03-11,Problème de service client,90
192,4359,2024-08-30,Autre,80
193,1159,2024-10-05,Autre,85
194,1480,2024-06-28,Problème de service client,62
195,907,2024-03-22,Autre,85
196,3553,2024-09-28,Autre,82
197,1031,2024-06-02,Mauvaise couverture réseau,76
198,580,2024-02-25,Mauvaise couverture réseau,68
199,1883,2024-06-09,Facturation incorrecte,63
200,4059,2024-05-14,Facturation incorrecte,96
201,3732,2024-09-20,Autre,66
202,2725,2024-05-30,Mauvaise couverture réseau,85
203,3186,2024-04-02,Mauvaise couverture réseau,79
204,1446,2024-05-11,Autre,87
205,2642,2024-10-29,Problème de service client,88
206,268,2024-02-26,Facturation incorrecte,99
207,1078,2024-07-18,Autre,73
208,2985,2024-03-19,Problème de service client,63
209,4950,2024-08-28,Mauvaise couverture réseau,83
210,1006,2024-06-12,Facturation incorrecte,60
211,4187,2024-03-28,Facturation incorrecte,68
212,1062,2024-09-08,Facturation incorrecte,96
213,1880,2024-12-05,Autre,94
214,1437,2024-09-13,Problème de service client,74
215,3116,2024-07-08,Facturation incorrecte,62
216,23,2024-06-10,Mauvaise couverture réseau,66
217,129,2024-08-29,Facturation incorrecte,92
218,2244,2024-02-20,Mauvaise couverture réseau,61
219,1027,2024-04-14,Problème de service client,86
220,2716,2024-06-08,Problème de service client,76
221,2646,2024-06-20,Facturation incorrecte,61
222,1970,2024-08-15,Autre,88
223,469,2024-10-24,Mauvaise couverture réseau,71
224,2668,2024-08-15,Autre,89
225,4173,2024-08-15,Mauvaise couverture réseau,68
226,3074,2024-07-05,Facturation incorrecte,80
227,3659,2024-02-09,Problème de service client,80
228,1003,2024-03-20,Facturation incorrecte,76
229,3154,2024-11-06,Mauvaise couverture réseau,94
230,4657,2024-08-29,Mauvaise couverture réseau,71
231,4200,2024-04-26,Mauvaise couverture réseau,75
232,1742,2024-08-20,Autre,100
233,75,2024-05-09,Autre,97
234,2416,2024-05-08,Mauvaise couverture réseau,86
235,1401,2024-10-17,Mauvaise couverture réseau,97
236,581,2024-09-01,Problème de service client,93
237,4186,2024-04-05,Autre,69
238,4896,2024-08-25,Problème de service client,69
239,3811,2024-12-15,Autre,64
240,2090,2024-05-04,Autre,94
241,1458,2024-01-10,Mauvaise couverture réseau,80
242,4465,2024-11-11,Facturation incorrecte,82
243,4735,2024-12-08,Problème de service client,85
244,315,2024-02-10,Mauvaise couverture réseau,84
245,2924,2024-08-22,Problème de service client,93
246,232,2024-07-16,Facturation incorrecte,67
247,1415,2024-11-27,Autre,68
248,728,2024-02-21,Mauvaise couverture réseau,67
249,133,2024-03-05,Problème de service client,84
250,909,2024-09-27,Problème de service client,95
251,1088,2024-07-09,Problème de service client,81
252,547,2024-07-19,Facturation incorrecte,69
253,1751,2024-07-22,Problème de service client,85
254,2703,2024-06-08,Mauvaise couverture réseau,72
255,4,2024-04-11,Facturation incorrecte,100
256,2472,2024-09-19,Mauvaise couverture réseau,72
257,4377,2024-11-18,Problème de service client,86
258,2876,2024-03-31,Facturation incorrecte,85
259,133,2024-08-25,Facturation incorrecte,74
260,2576,2024-04-29,Autre,63
261,3286,2024-03-23,Mauvaise couverture réseau,88
262,390,2024-08-06,Autre,63
263,213,2024-06-16,Autre,85
264,566,2024-06-16,Mauvaise couverture réseau,84
265,767,2024-10-16,Problème de service client,65
266,2964,2024-01-04,Problème de service client,66
267,3310,2024-06-24,Mauvaise couverture réseau,96
268,4919,2024-03-14,Autre,97
269,4480,2024-03-23,Autre,72
270,1554,2024-09-21,Problème de service client,100
271,4395,2024-03-17,Facturation incorrecte,84
272,1020,2024-09-27,Problème de service client,86
273,1381,2024-12-05,Autre,61
274,306,2024-03-12,Problème de service client,72
275,452,2024-12-12,Facturation incorrecte,64
276,2217,2024-08-02,Facturation incorrecte,84
277,3006,2024-03-03,Facturation incorrecte,63
278,4900,2024-08-31,Autre,62
279,200,2024-10-18,Problème de service client,87
280,392,2024-08-18,Mauvaise couverture réseau,94
281,4924,2024-07-04,Facturation incorrecte,95
282,1222,2024-06-27,Mauvaise couverture réseau,74
283,2053,2024-10-20,Mauvaise couverture réseau,71
284,4730,2024-08-07,Problème de service client,61
285,1325,2024-10-09,Facturation incorrecte,60
286,4651,2024-07-18,Facturation incorrecte,89
287,4431,2024-05-19,Mauvaise couverture réseau,89
288,3198,2024-12-16,Facturation incorrecte,89
289,470,2024-07-24,Autre,71
290,3895,2024-02-22,Facturation incorrecte,84
291,87,2024-01-14,Facturation incorrecte,93
292,2150,2024-02-19,Autre,94
293,4049,2024-08-08,Facturation incorrecte,91
294,3057,2024-03-04,Facturation incorrecte,68
295,1944,2024-10-28,Mauvaise couverture réseau,93
296,3442,2024-06-09,Problème de service client,100
297,473,2024-04-29,Mauvaise couverture réseau,81
298,2360,2024-06-30,Facturation incorrecte,61
299,3321,2024-03-08,Facturation incorrecte,86
300,4318,2024-08-04,Problème de service client,69
301,1904,2024-01-01,Mauvaise couverture réseau,86
302,1956,2024-02-20,Mauvaise couverture réseau,64
303,4202,2024-02-25,Problème de service client,97
304,4121,2024-01-28,Facturation incorrecte,86
305,4148,2024-10-22,Mauvaise couverture réseau,61
306,4547,2024-11-15,Autre,97
307,4180,2024-02-18,Mauvaise couverture réseau,75
308,2239,2024-07-07,Autre,87
309,2437,2024-07-30,Autre,98
310,4355,2024-07-17,Problème de service client,93
311,1256,2024-08-10,Mauvaise couverture réseau,73
312,1018,2024-06-30,Facturation incorrecte,86
313,3616,2024-02-16,Problème de service client,85
314,3547,2024-04-26,Facturation incorrecte,82
315,568,2024-07-04,Facturation incorrecte,61
316,1163,2024-01-31,Facturation incorrecte,100
317,1206,2024-04-30,Problème de service client,73
318,2221,2024-10-17,Mauvaise couverture réseau,84
319,2679,2024-02-26,Facturation incorrecte,97
320,2043,2024-02-29,Facturation incorrecte,69
321,2234,2024-05-19,Autre,94
322,3935,2024-10-22,Problème de service client,83
323,4076,2024-11-22,Autre,79
324,776,2024-03-20,Mauvaise couverture réseau,92
325,83,2024-04-07,Autre,76
326,3204,2024-08-19,Autre,92
327,1224,2024-12-11,Problème de service client,74
328,3044,2024-11-14,Facturation incorrecte,74
329,3144,2024-08-27,Autre,85
330,1727,2024-03-26,Mauvaise couverture réseau,73
331,3986,2024-07-31,Autre,62
332,3071,2024-03-24,Mauvaise couverture réseau,74
333,4182,2024-10-05,Problème de service client,83
334,3144,2024-02-10,Facturation incorrecte,93
335,1260,2024-05-30,Facturation incorrecte,68
336,2189,2024-02-26,Mauvaise couverture réseau,94
337,1808,2024-07-01,Mauvaise couverture réseau,64
338,1898,2024-08-29,Autre,72
339,714,2024-10-28,Problème de service client,96
340,4595,2024-03-26,Autre,71
341,730,2024-12-08,Facturation incorrecte,71
342,3267,2024-02-21,Problème de service client,82
343,4160,2024-11-29,Autre,86
344,3926,2024-08-14,Mauvaise couverture réseau,60
345,360,2024-04-12,Problème de service client,72
346,4652,2024-11-25,Problème de service client,75
347,2549,2024-07-28,Facturation incorrecte,60
348,4810,2024-07-03,Problème de service client,66
349,3667,2024-04-23,Mauvaise couverture réseau,77
350,215,2024-07-20,Facturation incorrecte,79
351,1980,2024-05-26,Facturation incorrecte,69
352,1084,2024-01-02,Problème de service client,78
353,4364,2024-03-28,Autre,69
354,1315,2024-12-09,Problème de service client,63
355,174,2024-01-12,Mauvaise couverture réseau,72
356,3520,2024-05-15,Autre,94
357,2239,2024-02-18,Autre,74
358,4391,2024-01-15,Mauvaise couverture réseau,63
359,3668,2024-12-15,Problème de service client,100
360,35,2024-07-01,Problème de service client,77
361,247,2024-06-12,Problème de service client,74
362,4669,2024-07-17,Facturation incorrecte,94
363,3931,2024-07-15,Problème de service client,66
364,2643,2024-04-18,Mauvaise couverture réseau,100
365,2453,2024-03-18,Facturation incorrecte,64
366,4271,2024-08-22,Mauvaise couverture réseau,80
367,4825,2024-04-23,Autre,96
368,2246,2024-06-23,Facturation incorrecte,65
369,1299,2024-02-15,Facturation incorrecte,92
370,3035,2024-05-12,Autre,77
371,3009,2024-04-25,Facturation incorrecte,97
372,639,2024-09-13,Autre,60
373,2806,2024-09-10,Facturation incorrecte,76
374,3500,2024-09-03,Problème de service client,85
375,62,2024-12-07,Autre,82
376,675,2024-12-12,Facturation incorrecte,67
377,792,2024-03-15,Autre,67
378,2678,2024-05-31,Mauvaise couverture réseau,87
379,3298,2024-05-07,Facturation incorrecte,97
380,3873,2024-03-20,Mauvaise couverture réseau,99
381,1358,2024-08-31,Problème de service client,83
382,2245,2024-05-01,Autre,92
383,1737,2024-04-12,Autre,69
384,109,2024-04-05,Mauvaise couverture réseau,69
385,4699,2024-10-19,Problème de service client,99
386,4576,2024-09-14,Autre,74
387,1586,2024-04-05,Problème de service client,72
388,4807,2024-11-17,Problème de service client,68
389,3850,2024-05-02,Problème de service client,71
390,347,2024-09-08,Autre,95
391,2022,2024-05-13,Mauvaise couverture réseau,70
392,2471,2024-03-04,Problème de service client,72
393,1506,2024-10-14,Mauvaise couverture réseau,62
394,4010,2024-09-05,Autre,94
395,4868,2024-03-16,Mauvaise couverture réseau,94
396,635,2024-06-19,Facturation incorrecte,100
397,1595,2024-01-17,Mauvaise couverture réseau,92
398,579,2024-09-12,Autre,91
399,788,2024-08-22,Autre,82
400,3121,2024-10-21,Problème de service client,81
401,388,2024-11-29,Autre,77
402,30,2024-06-29,Mauvaise couverture réseau,68
403,2401,2024-04-30,Autre,67
404,408,2024-07-27,Autre,77
405,2843,2024-02-24,Facturation incorrecte,82
406,4993,2024-05-13,Mauvaise couverture réseau,72
407,3055,2024-10-22,Facturation incorrecte,95
408,3642,2024-12-08,Problème de service client,81
409,582,2024-03-10,Mauvaise couverture réseau,96
410,2382,2024-12-12,Facturation incorrecte,97
411,1359,2024-02-05,Autre,84
412,2649,2024-04-21,Autre,73
413,211,2024-11-11,Autre,95
414,2544,2024-10-24,Mauvaise couverture réseau,98
415,1558,2024-06-15,Facturation incorrecte,62
416,126,2024-10-23,Mauvaise couverture réseau,76
417,138,2024-10-16,Autre,75
418,1073,2024-02-27,Mauvaise couverture réseau,68
419,88,2024-12-03,Mauvaise couverture réseau,81
420,1688,2024-07-30,Mauvaise couverture réseau,81
421,4956,2024-02-10,Mauvaise couverture réseau,90
422,2589,2024-03-10,Mauvaise couverture réseau,76
423,2998,2024-09-20,Mauvaise couverture réseau,92
424,3326,2024-08-04,Autre,84
425,1948,2024-04-05,Mauvaise couverture réseau,91
426,521,2024-10-09,Problème de service client,89
427,2310,2024-10-17,Autre,72
428,4556,2024-01-31,Autre,72
429,2547,2024-07-30,Problème de service client,98
430,2016,2024-08-26,Autre,79
431,665,2024-09-24,Autre,67
432,4741,2024-09-04,Mauvaise couverture réseau,83
433,367,2024-02-08,Facturation incorrecte,67
434,2978,2024-06-26,Problème de service client,67
435,3351,2024-04-04,Facturation incorrecte,76
436,592,2024-09-06,Autre,89
437,2199,2024-10-31,Mauvaise couverture réseau,90
438,3200,2024-10-02,Facturation incorrecte,85
439,3715,2024-04-23,Problème de service client,81
440,4657,2024-11-12,Mauvaise couverture réseau,69
441,3928,2024-09-07,Autre,91
442,2855,2024-12-01,Mauvaise couverture réseau,67
443,4806,2024-05-23,Mauvaise couverture réseau,74
444,2027,2024-08-01,Mauvaise couverture réseau,77
445,475,2024-02-15,Autre,75
446,1807,2024-07-30,Autre,92
447,1985,2024-11-11,Autre,60
448,1901,2024-08-24,Mauvaise couverture réseau,76
449,3345,2024-05-22,Mauvaise couverture réseau,97
450,4090,2024-10-14,Problème de service client,73
451,353,2024-08-16,Problème de service client,66
452,4842,2024-07-12,Autre,79
453,4092,2024-01-24,Autre,96
454,2538,2024-10-15,Autre,71
455,2822,2024-07-22,Autre,96
456,1391,2024-10-11,Mauvaise couverture réseau,72
457,4815,2024-04-06,Problème de service client,78
458,3661,2024-06-08,Autre,93
459,3514,2024-06-06,Facturation incorrecte,75
460,4210,2024-09-15,Facturation incorrecte,83
461,1323,2024-05-23,Mauvaise couverture réseau,91
462,1028,2024-02-16,Problème de service client,100
463,3105,2024-07-11,Facturation incorrecte,67
464,2026,2024-11-25,Autre,81
465,1573,2024-07-01,Autre,100
466,3936,2024-11-21,Problème de service client,90
467,898,2024-10-14,Autre,97
468,348,2024-06-26,Autre,87
469,1333,2024-02-29,Problème de service client,69
470,241,2024-02-27,Facturation incorrecte,99
471,3478,2024-09-02,Mauvaise couverture réseau,69
472,1391,2024-04-01,Facturation incorrecte,91
473,810,2024-05-22,Mauvaise couverture réseau,60
474,2230,2024-02-07,Mauvaise couverture réseau,72
475,4027,2024-04-21,Facturation incorrecte,83
476,31,2024-11-14,Mauvaise couverture réseau,67
477,1231,2024-01-30,Mauvaise couverture réseau,69
478,2547,2024-09-16,Problème de service client,68
479,4199,2024-04-16,Mauvaise couverture réseau,79
480,4227,2024-08-20,Mauvaise couverture réseau,67
481,1855,2024-03-02,Facturation incorrecte,68
482,3273,2024-02-27,Mauvaise couverture réseau,71
483,304,2024-03-19,Facturation incorrecte,93
484,4790,2024-06-05,Mauvaise couverture réseau,83
485,4488,2024-11-04,Mauvaise couverture réseau,90
486,483,2024-05-31,Autre,67
487,2000,2024-08-14,Mauvaise couverture réseau,61
488,845,2024-10-06,Problème de service client,99
489,2491,2024-09-04,Facturation incorrecte,99
490,4533,2024-09-27,Autre,87
491,436,2024-09-01,Mauvaise couverture réseau,60
492,2088,2024-11-24,Facturation incorrecte,87
493,4220,2024-10-10,Mauvaise couverture réseau,79
494,547,2024-11-29,Autre,88
495,4085,2024-12-09,Autre,67
496,1187,2024-01-15,Facturation incorrecte,80
497,4588,2024-11-17,Problème de service client,80
498,2935,2024-09-07,Autre,81
499,3298,2024-04-29,Problème de service client,70
500,4753,2024-03-09,Mauvaise couverture réseau,63
501,459,2024-04-08,Facturation incorrecte,66
502,1659,2024-06-10,Autre,92
503,3239,2024-02-04,Autre,96
504,4262,2024-05-07,Mauvaise couverture réseau,67
505,1914,2024-11-06,Problème de service client,79
506,4563,2024-06-25,Mauvaise couverture réseau,79
507,2632,2024-08-12,Autre,98
508,1104,2024-12-16,Mauvaise couverture réseau,94
509,142,2024-05-28,Problème de service client,66
510,2265,2024-07-18,Autre,81
511,926,2024-06-05,Mauvaise couverture réseau,76
512,1578,2024-11-08,Mauvaise couverture réseau,86
513,3917,2024-09-22,Problème de service client,88
514,4078,2024-11-06,Autre,64
515,4423,2024-08-22,Facturation incorrecte,83
516,3774,2024-04-27,Mauvaise couverture réseau,70
517,2455,2024-05-14,Problème de service client,87
518,2476,2024-02-29,Autre,97
519,813,2024-11-18,Facturation incorrecte,69
520,2957,2024-11-19,Problème de service client,99
521,3773,2024-02-16,Problème de service client,71
522,4551,2024-02-04,Problème de service client,75
523,4511,2024-03-26,Autre,79
524,149,2024-09-18,Mauvaise couverture réseau,70
525,520,2024-06-28,Facturation incorrecte,72
526,4373,2024-11-14,Mauvaise couverture réseau,82
527,4838,2024-09-18,Problème de service client,79
528,2473,2024-08-20,Autre,73
529,4045,2024-03-30,Facturation incorrecte,91
530,3661,2024-11-06,Facturation incorrecte,72
531,1583,2024-07-11,Autre,81
532,425,2024-07-15,Mauvaise couverture réseau,81
533,1038,2024-07-17,Mauvaise couverture réseau,91
534,4857,2024-08-13,Facturation incorrecte,73
535,1,2024-01-22,Autre,63
536,1333,2024-11-06,Problème de service client,75
537,1573,2024-01-26,Problème de service client,67
538,3215,2024-05-14,Facturation incorrecte,61
539,2382,2024-10-02,Facturation incorrecte,63
540,4293,2024-09-13,Problème de service client,82
541,2138,2024-05-06,Autre,95
542,4918,2024-07-23,Problème de service client,92
543,2271,2024-06-15,Autre,63
544,753,2024-03-20,Mauvaise couverture réseau,88
545,4877,2024-07-29,Autre,80
546,4337,2024-07-17,Mauvaise couverture réseau,71
547,3377,2024-01-28,Facturation incorrecte,69
548,1553,2024-06-22,Autre,86
549,3313,2024-06-18,Mauvaise couverture réseau,64
550,875,2024-09-14,Problème de service client,100
551,332,2024-12-07,Autre,77
552,4431,2024-02-13,Mauvaise couverture réseau,75
553,523,2024-05-30,Autre,80
554,840,2024-01-29,Facturation incorrecte,85
555,912,2024-01-24,Problème de service client,97
556,1365,2024-07-05,Mauvaise couverture réseau,71
557,3087,2024-04-14,Problème de service client,67
558,3660,2024-05-20,Autre,79
559,1244,2024-09-14,Autre,63
560,2644,2024-07-10,Autre,77
561,2081,2024-12-09,Problème de service client,98
562,4840,2024-10-23,Problème de service client,61
563,4978,2024-05-07,Autre,70
564,4803,2024-08-02,Problème de service client,98
565,2992,2024-07-26,Mauvaise couverture réseau,71
566,4309,2024-07-14,Mauvaise couverture réseau,87
567,2260,2024-05-11,Autre,95
568,1456,2024-11-27,Autre,84
569,275,2024-02-16,Problème de service client,87
570,278,2024-04-23,Autre,63
571,2897,2024-05-31,Problème de service client,93
572,1450,2024-12-05,Facturation incorrecte,96
573,1814,2024-06-04,Autre,91
574,4741,2024-10-09,Problème de service client,73
575,407,2024-10-31,Problème de service client,85
576,4730,2024-04-29,Mauvaise couverture réseau,91
577,3509,2024-02-17,Autre,83
578,597,2024-03-08,Mauvaise couverture réseau,66
579,558,2024-09-21,Facturation incorrecte,84
580,3974,2024-07-14,Problème de service client,86
581,530,2024-02-11,Autre,81
582,4540,2024-08-22,Facturation incorrecte,65
583,2513,2024-08-21,Problème de service client,73
584,2800,2024-05-19,Facturation incorrecte,88
585,655,2024-03-11,Problème de service client,92
586,1849,2024-08-08,Mauvaise couverture réseau,78
587,935,2024-05-09,Autre,81
588,1693,2024-11-23,Facturation incorrecte,96
589,228,2024-01-01,Mauvaise couverture réseau,94
590,2593,2024-04-23,Autre,94
591,3095,2024-03-15,Facturation incorrecte,89
592,1599,2024-08-20,Problème de service client,92
593,4570,2024-09-24,Problème de service client,78
594,469,2024-06-13,Problème de service client,92
595,320,2024-08-29,Problème de service client,93
596,1538,2024-11-15,Facturation incorrecte,79
597,3506,2024-06-18,Mauvaise couverture réseau,67
598,4556,2024-03-12,Facturation incorrecte,73
599,3906,2024-08-07,Autre,87
600,3395,2024-05-10,Problème de service client,63
601,3198,2024-06-10,Autre,84
602,3231,2024-11-03,Mauvaise couverture réseau,77
603,1051,2024-04-24,Autre,65
604,4922,2024-11-23,Problème de service client,84
605,1277,2024-08-07,Mauvaise couverture réseau,91
606,2190,2024-05-04,Facturation incorrecte,74
607,905,2024-11-24,Problème de service client,96
608,2224,2024-10-14,Autre,64
609,4250,2024-04-10,Autre,91
610,3769,2024-08-09,Problème de service client,74
611,1655,2024-01-26,Facturation incorrecte,75
612,3047,2024-12-11,Mauvaise couverture réseau,93
613,4108,2024-03-22,Facturation incorrecte,95
614,2891,2024-07-13,Mauvaise couverture réseau,84
615,3960,2024-02-15,Mauvaise couverture réseau,95
616,4234,2024-06-15,Mauvaise couverture réseau,78
617,1929,2024-09-10,Problème de service client,84
618,2116,2024-08-19,Problème de service client,98
619,2368,2024-03-17,Problème de service client,81
620,2344,2024-04-14,Problème de service client,66
621,2184,2024-07-10,Facturation incorrecte,60
622,4408,2024-06-19,Autre,71
623,1027,2024-01-15,Autre,62
